nconst,primaryName,knownForTitles
nm0094083,Sergey Bondarchuk,"tt0063794,tt0059884,tt0053317,tt0092688"
nm0473308,Anatoli Ktorov,"tt0063794,tt0194369,tt0059884,tt0061162"
nm0767567,Lyudmila Saveleva,"tt0063794,tt0076946,tt0059884,tt0062456"
nm0795919,Antonina Shuranova,"tt0063794,tt0062456,tt0059884,tt0133072"
nm0804509,Irina Skobtseva,"tt0063794,tt0048455,tt0059884,tt0062456"
nm0822337,Viktor Stanitsyn,"tt0040900,tt0019766,tt0063794,tt0059884"
nm0845867,Oleg Tabakov,"tt0063794,tt0079619,tt0069628,tt0059884"
nm0863146,Vyacheslav Tikhonov,"tt0063794,tt0062456,tt0062907,tt0061162"
nm0895034,Anastasiya Vertinskaya,"tt0055844,tt0061359,tt0058126,tt0063794"
nm0952294,Boris Zakhava,"tt0063794,tt0062456,tt0045721,tt0062455"
nm0000008,Marlon Brando,"tt0078788,tt0068646,tt0047296,tt0070849"
nm0000432,Gene Hackman,"tt0067116,tt0095647,tt0265666,tt0105695"
nm0000885,Ned Beatty,"tt0074958,tt0068473,tt0822854,tt0078346"
nm0001149,Richard Donner,"tt0078346,tt0089457,tt0839995,tt0093409"
nm0001229,Glenn Ford,"tt0038559,tt0078346,tt0055312,tt0045555"
nm0001659,Christopher Reeve,"tt0078346,tt0086393,tt0094074,tt0081534"
nm0002145,Trevor Howard,"tt0041959,tt0037558,tt0066319,tt0083987"
nm0178114,Jackie Cooper,"tt0078346,tt0081573,tt0086393,tt0094074"
nm0452288,Margot Kidder,"tt0078346,tt0071222,tt0081573,tt0078767"
nm0641172,Jack O'Halloran,"tt0081573,tt0072973,tt0092925,tt0078346"
nm0674781,Valerie Perrine,"tt0078346,tt0071746,tt0081573,tt0839995"
nm0818201,Pierre Spengler,"tt0078346,tt0365686,tt0086393,tt0081573"
nm0000502,Christopher Lloyd,"tt0088763,tt0096438,tt0101272,tt0106220"
nm0000709,Robert Zemeckis,"tt0088763,tt0109830,tt0118884,tt1907668"
nm0001026,Joanna Cassidy,"tt0083658,tt0096438,tt0098051,tt0248654"
nm0001364,Bob Hoskins,"tt0081070,tt0096438,tt0091538,tt1735898"
nm0005428,Joel Silver,"tt3799694,tt5444294,tt0133093,tt0095016"
nm0105280,Betsy Brantley,"tt0093779,tt0150377,tt0120647,tt0096438"
nm0281486,Charles Fleischer,"tt0443706,tt0096438,tt0087800,tt0096874"
nm0386516,Lou Hirsch,"tt0096438,tt0086393,tt0233084,tt0100821"
nm0443401,Stubby Kaye,"tt0048140,tt0096438,tt0212720,tt0053001"
nm0503236,Richard LeParmentier,"tt0076759,tt0086034,tt0081573,tt0096438"
nm0550881,Frank Marshall,"tt0421715,tt0112715,tt0082971,tt0286106"
nm0863519,Alan Tilvern,"tt0096438,tt0073312,tt0083943,tt0091419"
nm0915226,Robert Watts,"tt0096438,tt0080684,tt0086190,tt0082971"
nm0000116,James Cameron,"tt1630029,tt0499549,tt0090605,tt0103064"
nm0000299,Michael Biehn,"tt0090605,tt0088247,tt0096754,tt0117500"
nm0000438,Ed Harris,"tt0800308,tt0183659,tt0120382,tt0112384"
nm0001512,Mary Elizabeth Mastrantonio,"tt0096754,tt0102798,tt0177971,tt0086250"
nm0066023,John Bedford Lloyd,"tt0096754,tt0086465,tt0372183,tt0115333"
nm0108107,Captain Kidd Brewer Jr.,"tt0096754,tt0082910,tt0382354"
nm0122238,Leo Burmester,"tt0096754,tt0118971,tt0107808,tt0116905"
nm0333804,Todd Graff,"tt0096754,tt0108473,tt0342167,tt0114558"
nm0459188,George Robert Klek,"tt0096754,tt0124869,tt0092312"
nm0703862,J.C. Quinn,"tt0091499,tt0096754,tt0099371,tt0114194"
nm0779451,Kimberly Scott,"tt0096754,tt0106856,tt0372237,tt0112462"
nm0000246,Bruce Willis,"tt0095016,tt0110912,tt0088571,tt0167404"
nm0000669,Fred Thompson,"tt0099810,tt0093640,tt0109190,tt1922777"
nm0000889,Bonnie Bedelia,"tt0095016,tt0099423,tt0100404,tt0085656"
nm0001240,Dennis Franz,"tt0106079,tt0120632,tt0099423,tt0080661"
nm0001317,Renny Harlin,"tt0132245,tt1905040,tt0106582,tt0112760"
nm0001817,Reginald VelJohnson,"tt0095016,tt0087332,tt0099423,tt0096579"
nm0005428,Joel Silver,"tt3799694,tt5444294,tt0133093,tt0095016"
nm0006669,William Sadler,"tt0101452,tt0111161,tt0884328,tt0099423"
nm0025309,John Amos,"tt0094898,tt0097770,tt0070991,tt0099423"
nm0040472,William Atherton,"tt0095016,tt0087332,tt0089886,tt0072848"
nm0262543,Art Evans,"tt0099423,tt0091877,tt0089175,tt0119664"
nm0330077,Charles Gordon,"tt0114898,tt0097351,tt0095016,tt2679042"
nm0626259,Franco Nero,"tt4425200,tt1853728,tt0099423,tt0060315"
nm0000199,Al Pacino,"tt0070666,tt0072890,tt0068646,tt0099422"
nm0000338,Francis Ford Coppola,"tt0078788,tt0071360,tt0071562,tt0068646"
nm0000403,Bridget Fonda,"tt0120324,tt0107843,tt0105414,tt0139414"
nm0000412,Andy Garcia,"tt0240772,tt0099674,tt0349903,tt0343996"
nm0000473,Diane Keaton,"tt0075686,tt0337741,tt0356680,tt0082979"
nm0001068,Sofia Coppola,"tt0099674,tt5592248,tt0159097,tt0335266"
nm0001313,George Hamilton,"tt0083366,tt0079489,tt0099674,tt0278823"
nm0001505,Joe Mantegna,"tt0099674,tt0108065,tt0109190,tt0120533"
nm0001735,Talia Shire,"tt0075148,tt0068646,tt0089927,tt0071562"
nm0885203,Raf Vallone,"tt0064505,tt0099674,tt0056668,tt0076507"
nm0908919,Eli Wallach,"tt0060196,tt0054047,tt0048973,tt0457939"
nm0000216,Arnold Schwarzenegger,"tt0103064,tt0216216,tt0088247,tt0107362"
nm0000232,Sharon Stone,"tt0103772,tt0112641,tt0114214,tt0108162"
nm0000461,Michael Ironside,"tt0120201,tt0100802,tt0081455,tt0092099"
nm0000682,Paul Verhoeven,"tt0093870,tt0389557,tt3716530,tt0120201"
nm0001074,Ronny Cox,"tt0093870,tt0100802,tt0068473,tt0086960"
nm0001797,Rachel Ticotin,"tt0100802,tt0118880,tt0106856,tt0406759"
nm0048844,Ray Baker,"tt5574490,tt0100802,tt1797404,tt0116253"
nm0068382,Marshall Bell,"tt0120201,tt0100802,tt0114660,tt0092005"
nm0110735,Roy Brocksmith,"tt0100802,tt0101452,tt0098621,tt0098439"
nm0150720,Michael Champion,"tt0100802,tt0086960,tt0082517,tt0080130"
nm0424436,Mel Johnson Jr.,"tt0100802,tt0106145,tt11469578,tt0119288"
nm0000116,James Cameron,"tt1630029,tt0499549,tt0090605,tt0103064"
nm0000157,Linda Hamilton,"tt0103064,tt6450804,tt0088247,tt0118928"
nm0000216,Arnold Schwarzenegger,"tt0103064,tt0216216,tt0088247,tt0107362"
nm0000411,Edward Furlong,"tt0103064,tt0165710,tt0120586,tt0990407"
nm0001280,Jenette Goldstein,"tt0090605,tt0103064,tt0093605,tt0111280"
nm0001598,Robert Patrick,"tt0103064,tt0133751,tt0106912,tt0419946"
nm0091286,Earl Boen,"tt0103064,tt0181852,tt0088247,tt0085894"
nm0177528,Danny Cooksey,"tt0103064,tt0101190,tt0077003,tt1482459"
nm0346003,Castulo Guerra,"tt0103064,tt0114814,tt0236493,tt2975578"
nm0580924,S. Epatha Merkerson,"tt0098844,tt0407936,tt0099871,tt0443272"
nm0608012,Joe Morton,"tt0103064,tt0087004,tt12361974,tt0118747"
nm0000201,Michelle Pfeiffer,"tt0097322,tt0161081,tt0117247,tt0427327"
nm0000318,Tim Burton,"tt0099487,tt1142977,tt0121164,tt0408236"
nm0000362,Danny DeVito,"tt0117008,tt0098621,tt0103776,tt0119488"
nm0000474,Michael Keaton,"tt2562232,tt1895587,tt4276820,tt0096895"
nm0000686,Christopher Walken,"tt0077416,tt0264464,tt0427327,tt0114194"
nm0001284,Michael Gough,"tt0112462,tt0118688,tt0096895,tt0088286"
nm0001704,Vincent Schiavelli,"tt0120347,tt0099653,tt0086856,tt0083929"
nm0117420,Andrew Bryniarski,"tt0111301,tt0102070,tt0146838,tt0324216"
nm0174192,Cristi Conaway,"tt0103776,tt0118492,tt0101745,tt0104466"
nm0224145,Denise Di Novi,"tt0097493,tt3281548,tt0109707,tt0116683"
nm0385757,Pat Hingle,"tt0114214,tt0118688,tt0096895,tt0061747"
nm0614526,Michael Murphy,"tt0079522,tt0073440,tt0094562,tt0491747"
nm0000170,Milla Jovovich,"tt0119116,tt1220634,tt0120804,tt1220198"
nm0000190,Matthew McConaughey,"tt0816692,tt0790636,tt1935179,tt1915581"
nm0000500,Richard Linklater,"tt0243017,tt2209418,tt1065073,tt0405296"
nm0000725,Joey Lauren Adams,"tt0118842,tt0106677,tt0142342,tt2996684"
nm0004965,Adam Goldberg,"tt0268978,tt0120815,tt0453467,tt0106677"
nm0028846,Shawn Andrews,"tt1103221,tt1230364,tt0106677"
nm0168262,Rory Cochrane,"tt12800524,tt5478478,tt1355683,tt4537896"
nm0199733,Sean Daniel,"tt2345759,tt2638144,tt0120616,tt0119395"
nm0421774,Sasha Jenson,"tt0106677,tt0103893,tt0095271,tt0094006"
nm0518715,Jason London,"tt0106677,tt0114682,tt0144814,tt0253798"
nm0710829,Anthony Rapp,"tt0294870,tt0106677,tt0268978,tt0092513"
nm0927812,Wiley Wiggins,"tt0106677,tt0243017,tt0133751,tt2007360"
nm0000156,Jeff Goldblum,"tt0107290,tt0091064,tt2278388,tt0116629"
nm0000168,Samuel L. Jackson,"tt0110912,tt3460252,tt4154664,tt2802144"
nm0000229,Steven Spielberg,"tt0108052,tt0083866,tt0120815,tt0082971"
nm0000277,Richard Attenborough,"tt0107290,tt0057115,tt0083987,tt0119567"
nm0000368,Laura Dern,"tt0107290,tt7653254,tt2305051,tt0090756"
nm0000554,Sam Neill,"tt0107290,tt4698684,tt0104850,tt0107822"
nm0000611,Ariana Richards,"tt0107290,tt0100814,tt0119567,tt0259685"
nm0000703,BD Wong,"tt0107290,tt4158110,tt0369610,tt0120762"
nm0001515,Joseph Mazzello,"tt0107290,tt1285016,tt0110997,tt0112757"
nm0274684,Martin Ferrero,"tt0107290,tt0093748,tt0113277,tt0102603"
nm0669629,Bob Peck,"tt0107290,tt0090424,tt0100054,tt0098350"
nm0031844,Takeshi Aono,"tt0107692,tt0928380,tt0316540,tt0247514"
nm0351338,Daisuke Gôri,"tt0107692,tt0142236,tt0457321,tt0432817"
nm0556237,Yutaka Maseba,"tt1174954,tt0107692,tt0079833,tt0347246"
nm0605252,Katsuji Mori,"tt0107692,tt0159509,tt0288933,tt0091211"
