tconst,originalTitle,genres
tt0063794,Voyna i mir,"Drama,Romance,War"
tt0078346,Superman,"Action,Adventure,Sci-Fi"
tt0096438,Who Framed Roger Rabbit,"Adventure,Animation,Comedy"
tt0096754,The Abyss,"Adventure,Drama,Mystery"
tt0099423,Die Hard 2,"Action,Thriller"
tt0099674,The Godfather Part III,"Crime,Drama"
tt0100802,Total Recall,"Action,Adventure,Sci-Fi"
tt0103064,Terminator 2: Judgment Day,"Action,Adventure,Sci-Fi"
tt0103776,Batman Returns,"Action,Crime,Fantasy"
tt0106677,Dazed and Confused,Comedy
tt0107290,Jurassic Park,"Action,Adventure,Sci-Fi"
tt0107692,Jûbê ninpûchô,"Action,Adventure,Animation"
tt0109830,Forrest Gump,"Drama,Romance"
tt0110148,Interview with the Vampire: The Vampire Chronicles,"Drama,Fantasy,Horror"
tt0110478,Maverick,"Action,Adventure,Comedy"
tt0111282,Stargate,"Action,Adventure,Sci-Fi"
tt0111503,True Lies,"Action,Comedy,Thriller"
tt0112384,Apollo 13,"Adventure,Drama,History"
tt0112573,Braveheart,"Biography,Drama,War"
tt0112641,Casino,"Crime,Drama"
tt0112740,Crimson Tide,"Action,Drama,Thriller"
tt0112864,Die Hard with a Vengeance,"Action,Adventure,Thriller"
tt0113189,GoldenEye,"Action,Adventure,Thriller"
tt0113277,Heat,"Action,Crime,Drama"
tt0113497,Jumanji,"Adventure,Comedy,Family"
tt0116583,The Hunchback of Notre Dame,"Animation,Drama,Family"
tt0116629,Independence Day,"Action,Adventure,Sci-Fi"
tt0116695,Jerry Maguire,"Comedy,Drama,Romance"
tt0117060,Mission: Impossible,"Action,Adventure,Thriller"
tt0117500,The Rock,"Action,Adventure,Thriller"
tt0118617,Anastasia,"Adventure,Animation,Drama"
tt0118884,Contact,"Drama,Mystery,Sci-Fi"
tt0118971,The Devil's Advocate,"Drama,Fantasy,Mystery"
tt0119094,Face/Off,"Action,Crime,Sci-Fi"
tt0119116,Le Cinquième Élément,"Action,Adventure,Sci-Fi"
tt0119174,The Game,"Drama,Mystery,Thriller"
tt0119282,Hercules,"Action,Adventure,Animation"
tt0119643,Meet Joe Black,"Drama,Fantasy,Romance"
tt0119654,Men in Black,"Action,Adventure,Comedy"
tt0119822,As Good as It Gets,"Comedy,Drama,Romance"
tt0120102,Seven Years in Tibet,"Adventure,Biography,Drama"
tt0120188,Three Kings,"Action,Adventure,Comedy"
tt0120201,Starship Troopers,"Action,Adventure,Sci-Fi"
tt0120338,Titanic,"Drama,Romance"
tt0120363,Toy Story 2,"Adventure,Animation,Comedy"
tt0120382,The Truman Show,"Comedy,Drama"
tt0120616,The Mummy,"Action,Adventure,Fantasy"
tt0120623,A Bug's Life,"Adventure,Animation,Comedy"
tt0120660,Enemy of the State,"Action,Thriller"
tt0120663,Eyes Wide Shut,"Drama,Mystery,Thriller"
tt0120689,The Green Mile,"Crime,Drama,Fantasy"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Action,Adventure,Drama"
tt0120762,Mulan,"Adventure,Animation,Comedy"
tt0120768,The Negotiator,"Action,Crime,Drama"
tt0120784,Payback,"Action,Crime,Drama"
tt0120789,Pleasantville,"Comedy,Drama,Fantasy"
tt0120794,The Prince of Egypt,"Adventure,Animation,Drama"
tt0120815,Saving Private Ryan,"Drama,War"
tt0120855,Tarzan,"Adventure,Animation,Comedy"
tt0120863,The Thin Red Line,"Drama,History,War"
tt0120889,What Dreams May Come,"Drama,Fantasy,Romance"
tt0120902,The X Files,"Drama,Mystery,Sci-Fi"
tt0120903,X-Men,"Action,Adventure,Sci-Fi"
tt0120910,Fantasia 2000,"Animation,Family,Fantasy"
