nconst,primaryName,knownForTitles
nm0136853,Julien Carette,"tt0031885,tt0028950,tt0038146,tt0030706"
nm0197950,Marcel Dalio,"tt0047437,tt0031885,tt0037382,tt0060522"
nm0239513,Paulette Dubost,"tt0031885,tt0200259,tt0056268,tt0191638"
nm0253619,Lise Elina,"tt0031885,tt0024700,tt0022777,tt0298467"
nm0339669,Nora Gregor,"tt0031885,tt0022731,tt0140388,tt1131595"
nm0350789,Claire Gérard,"tt0031885,tt0025744,tt0132068,tt0026023"
nm0562309,Anne Mayen,"tt0031885,tt0149659,tt0128833"
nm0664186,Mila Parély,"tt0031885,tt0038348,tt0214567,tt0046933"
nm0719756,Jean Renoir,"tt0031885,tt0028950,tt0043972,tt0038107"
nm0847851,Odette Talazac,"tt0031885,tt0019877,tt0034478,tt0022150"
nm0869765,Roland Toutain,"tt0031885,tt0160790,tt0029802,tt0193049"
nm0076350,Paul Bernard,"tt0037630,tt0036665,tt0035001,tt0155116"
nm0087926,Charles Blavette,"tt0025898,tt0036736,tt0044883,tt0154473"
nm0105482,Pierre Brasseur,"tt0053459,tt0037674,tt0038853,tt0053643"
nm0180115,Léonce Corne,"tt0160724,tt0169422,tt4127678,tt0143247"
nm0344927,Jean Grémillon,"tt0041738,tt0034093,tt0045505,tt0169960"
nm0545352,Georges Marchal,"tt0061395,tt0055564,tt0047567,tt0046461"
nm0548355,Jane Marken,"tt0037674,tt0025027,tt0049189,tt0028438"
nm0690500,Henri Pons,"tt0034093,tt0190433,tt0035001,tt0039731"
nm0719233,Madeleine Renaud,"tt0034093,tt0056197,tt0027730,tt0024310"
nm0732877,Madeleine Robinson,"tt0053473,tt0039400,tt0040917,tt0057427"
nm1213359,Gérard Lecomte,tt0035001
nm0149336,Marcel Chabrier,"tt0025191,tt0026660,tt0339581,tt0179089"
nm0196737,Pierre Dagenais,"tt8820262,tt0038010,tt0268644,tt8835818"
nm0243616,Albert Duquesne,"tt0042694,tt0038010,tt0225695"
nm0243826,Pierre Durand,"tt0038010,tt0948712,tt12423202"
nm0504727,Ginette Letondal,"tt0054603,tt0298352,tt0038010,tt0188329"
nm0529559,Ovila Légaré,"tt0165570,tt5352908,tt0060421,tt0254632"
nm0560824,Guy Mauffette,"tt0042694,tt0038010,tt0137836,tt0041273"
nm0652974,Fyodor Otsep,"tt0017159,tt0190964,tt0029404,tt0019609"
nm0654767,Madeleine Ozeray,"tt0025397,tt0169978,tt0038010,tt0132068"
nm0679968,Charles Philipp,"tt2705216,tt0142969,tt0038010,tt1942683"
nm0747584,François Rozet,"tt0016112,tt0020182,tt0169978,tt0143856"
nm0840265,Janine Sutto,"tt0038010,tt0833595,tt0065632,tt0204143"
nm0029004,Luc Andrieux,"tt0053198,tt0042375,tt0058159,tt0174224"
nm0078172,Christian Bertola,"tt0182028,tt0165570,tt0067323,tt0046461"
nm0087018,Pierre Blanchar,"tt0132068,tt0028905,tt0029706,tt0039004"
nm0188012,Janine Crispin,"tt0169978,tt0154961,tt0047817,tt0202290"
nm0261971,Alexander Esway,"tt0023555,tt0018810,tt0025480,tt0022367"
nm0499151,René Lefèvre,"tt0035156,tt0022765,tt0167238,tt0058909"
nm0578805,Daniel Mendaille,"tt0048021,tt0023563,tt0020787,tt0026660"
nm0609713,Charles Moulin,"tt0034471,tt0149604,tt0062689,tt0030127"
nm0609748,Marcel Mouloudji,"tt0044977,tt0030062,tt0158645,tt0105750"
nm0621974,Henri Nassiet,"tt0242352,tt0055549,tt0056846,tt0049501"
nm0908419,Jean Wall,"tt0051378,tt0201488,tt0025480,tt0149877"
nm0078379,Janette Bertrand,"tt0815761,tt7936298,tt0225567,tt0080886"
nm0081948,Jean-Yves Bigras,"tt0042694,tt0045027,tt0298352,tt0258922"
nm0221393,Paul Desmarteaux,"tt0188316,tt0188321,tt0268644,tt0297058"
nm0286754,Marc Forrez,"tt0045027,tt0189292,tt0343243,tt0159220"
nm0300990,J. Léo Gagnon,"tt0068928,tt0188321,tt0080718,tt0072406"
nm0480864,Yvonne Laflamme,"tt0045027,tt0297058,tt0264228,tt0306376"
nm0482049,Jean Lajeunesse,"tt0168399,tt0070620,tt0188321,tt0225567"
nm0571968,Therese McKinnon,"tt0045027,tt0343243"
nm0593549,Lucie Mitchell,"tt0188321,tt0226102,tt0075036,tt0045027"
nm0688637,Lucie Poitras,"tt0168246,tt0039392,tt0039986,tt0045027"
nm0889669,Nana de Varennes,"tt0042694,tt0188321,tt0067103,tt0298352"
nm0126889,Henri Bérard,"tt0048021,tt0155597,tt0039265,tt0159655"
nm0171993,Dominique Maurin,"tt0048021,tt0266543,tt0095525,tt0048201"
nm0201009,Janine Darcey,"tt0048021,tt0031341,tt0101863,tt1470880"
nm0202088,Jules Dassin,"tt0048021,tt0054198,tt0050237,tt0056346"
nm0335878,Pierre Grasset,"tt0048021,tt0285960,tt0068724,tt0052733"
nm0396136,Robert Hossein,"tt0084340,tt0056404,tt0058922,tt0053130"
nm0526990,Marcel Lupovici,"tt0048021,tt0064126,tt0027925,tt0204708"
nm0544275,Robert Manuel,"tt0048021,tt0103586,tt0048616,tt0191013"
nm0617846,Carl Möhner,"tt0048021,tt0071270,tt0256102,tt0061448"
nm0637649,Magali Noël,"tt0071129,tt0048021,tt0065234,tt0053779"
nm0754878,Marie Sabouret,"tt0048021,tt0154249,tt0046461,tt0047003"
nm0785771,Jean Servais,"tt0048021,tt0056197,tt0045034,tt0025509"
nm0000003,Brigitte Bardot,"tt0057345,tt0049189,tt0056404,tt0054452"
nm0004462,Jean-Louis Trintignant,"tt1602620,tt0065234,tt0111495,tt0065571"
nm0162791,Jacques Ciron,"tt0095174,tt0096332,tt0098238,tt0156200"
nm0179783,Isabelle Corey,"tt0047892,tt0051000,tt0049189,tt0051664"
nm0265732,Paul Faivre,"tt0042649,tt0049189,tt0143247,tt0041137"
nm0432007,Curd Jürgens,"tt0076752,tt0056197,tt0050356,tt0059399"
nm0529733,Raoul Lévy,"tt0059329,tt0060295,tt0060304,tt0059429"
nm0548355,Jane Marken,"tt0037674,tt0025027,tt0049189,tt0028438"
nm0609984,Jany Mourey,"tt0049189,tt0157939"
nm0671862,Roger Vadim,"tt0062711,tt0060271,tt0050929,tt0056404"
nm0864397,Jean Tissier,"tt0041414,tt0043802,tt0047659,tt0191870"
nm0893329,Jacqueline Ventura,"tt0049189,tt0157626,tt0050270"
nm0000063,Anthony Quinn,"tt0057831,tt0056172,tt0049456,tt0064952"
nm0165564,Philippe Clay,"tt0050781,tt0158778,tt0046998,tt1834254"
nm0192490,Alain Cuny,"tt0053779,tt0137358,tt0071464,tt0035521"
nm0199431,Jean Danet,"tt0050781,tt0047868,tt0123791,tt0055605"
nm0216381,Jean Delannoy,"tt0042401,tt0039004,tt0040826,tt0045122"
nm0241632,Danielle Dumont,"tt0050781,tt0050854,tt0271634,tt0046429"
nm0386542,Robert Hirsch,"tt0097515,tt0050781,tt0043468,tt6657022"
nm0518178,Gina Lollobrigida,"tt0050781,tt0053290,tt0054759,tt0062767"
nm0765056,Maurice Sarfati,"tt0099334,tt0050669,tt0060637,tt0050781"
nm0856383,Valentine Tessier,"tt0044857,tt0025442,tt0026546,tt0046998"
nm0864397,Jean Tissier,"tt0041414,tt0043802,tt0047659,tt0191870"
nm0000003,Brigitte Bardot,"tt0057345,tt0049189,tt0056404,tt0054452"
nm0000964,Charles Boyer,"tt0036855,tt0028739,tt0033722,tt0029855"
nm0092330,Michel Boisrond,"tt0052795,tt0062229,tt0049063,tt0049040"
nm0150495,Judith Magre,"tt3716530,tt0052556,tt0220273,tt0050854"
nm0495495,Madeleine Lebeau,"tt0034583,tt0056801,tt0034778,tt0057846"
nm0561158,Claire Maurier,"tt0053198,tt0211915,tt0081678,tt0058343"
nm0686156,Robert Pizani,"tt0188049,tt0029394,tt0295419,tt0190961"
nm0740696,Noël Roquevert,"tt0046911,tt0046415,tt0056268,tt0043011"
nm0765022,Fernand Sardou,"tt0048021,tt0044883,tt0157850,tt0289606"
nm0874559,Guy Tréjan,"tt0055549,tt0057243,tt0081217,tt0072752"
nm0896331,Henri Vidal,"tt0052058,tt0048925,tt0046278,tt0041342"
nm0000003,Brigitte Bardot,"tt0057345,tt0049189,tt0056404,tt0054452"
nm0002193,Claude Autant-Lara,"tt0038476,tt0049877,tt0047432,tt0045569"
nm0021511,Annick Allières,"tt0087730,tt0086282,tt0051579,tt0054048"
nm0053884,Madeleine Barbulée,"tt0070960,tt0066041,tt0050709,tt1369743"
nm0074303,Nicole Berger,"tt0054389,tt0051102,tt0046794,tt0049533"
nm0163361,Jacques Clancy,"tt0045150,tt0042316,tt4127678,tt0140952"
nm0275428,Edwige Feuillère,"tt0042803,tt0026660,tt0179161,tt0025191"
nm0284870,Gabrielle Fontan,"tt0038146,tt0039215,tt0034893,tt0053033"
nm0300064,Jean Gabin,"tt0028950,tt0030643,tt0050669,tt0046451"
nm0340695,Suzanne Grey,"tt1470880,tt0043386,tt0218361,tt0154271"
nm0529733,Raoul Lévy,"tt0059329,tt0060295,tt0060304,tt0059429"
nm1722908,Edith Cérou,tt0051579
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0064722,Paul Beauvais,"tt0064225,tt0180032,tt0461996,tt0196256"
nm0248811,Gilbert Edard,"tt0045622,tt0053279,tt0135130,tt0052708"
nm0400142,Henri-Jacques Huet,"tt0054177,tt0084540,tt2134468,tt0069570"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0836977,Michel Subor,"tt0054177,tt0055032,tt0209933,tt0065112"
nm0844435,László Szabó,"tt0088154,tt0096332,tt0382664,tt0072447"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000901,Jean-Paul Belmondo,"tt0059592,tt0053472,tt0055082,tt0061452"
nm0040933,Henri Attal,"tt0056663,tt0058089,tt0059206,tt0062728"
nm0050953,Karyn Balm,"tt0216458,tt0167642,tt0210491,tt0168387"
nm0087491,Dorothée Blanck,"tt0055852,tt0058450,tt0062873,tt0066207"
nm0108400,Jean-Claude Brialy,"tt0195436,tt0053198,tt0065772,tt0071487"
nm0218633,Catherine Demongeot,"tt0054494,tt0176999,tt0057051,tt0217931"
nm0239447,Marie Dubois,"tt0055032,tt0076384,tt0054389,tt0066041"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0579972,Ernest Menzer,"tt0057869,tt0235976,tt0065651,tt0327003"
nm0603402,Jeanne Moreau,"tt0055032,tt0052556,tt0100263,tt0051378"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0105886,Pierre Braunberger,"tt0056663,tt0243194,tt0054389,tt0021321"
nm0227561,Dimitri Dineff,"tt0056663,tt0059035,tt0056361,tt0168276"
nm0388902,Gérard Hoffman,"tt0056663,tt0047697,tt0058159,tt0057616"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0440914,Peter Kassovitz,"tt0120716,tt0056663,tt0955333,tt7760044"
nm0479351,André S. Labarthe,"tt0056663,tt4786206,tt0344747,tt0815352"
nm0582195,Monique Messine,"tt0056663,tt0103442,tt0159194,tt0187553"
nm0667573,Paul Pavel,"tt0056663,tt0061955,tt0115561,tt0059050"
nm0714236,Sady Rebbot,"tt0056663,tt1369743,tt0060329,tt12199580"
nm0772479,Eric Schlumberger,"tt0065234,tt0056663,tt0057934,tt0140556"
nm0772480,Guylaine Schlumberger,"tt0056663,tt5235730"
nm0000003,Brigitte Bardot,"tt0057345,tt0049189,tt0056404,tt0054452"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000485,Fritz Lang,"tt0057345,tt0022100,tt0017136,tt0038057"
nm0001588,Jack Palance,"tt0101587,tt0046303,tt0057345,tt0098439"
nm0184170,Raoul Coutard,"tt0065838,tt0058898,tt0065234,tt0055032"
nm0596968,Giorgia Moll,"tt0057345,tt0052106,tt0054063,tt0059648"
nm0681566,Michel Piccoli,"tt0057345,tt0061395,tt1456472,tt0118613"
nm0893612,Linda Veras,"tt0064916,tt0067686,tt0178543,tt0053856"
nm0090369,Jacques Bobet,"tt0093117,tt0079220,tt0233720,tt0226065"
nm0105693,Michel Brault,"tt0057423,tt0071949,tt0083197,tt0078894"
nm0200519,Fernand Dansereau,"tt1147720,tt0083848,tt1764449,tt0226126"
nm0414055,Stanley Jackson,"tt0224117,tt0224390,tt0227326,tt0225427"
nm0674529,Pierre Perrault,"tt0057423,tt0152252,tt10100504,tt0237328"
nm0047100,René Bail,"tt0296608,tt0074456,tt0063780,tt0065166"
nm0246390,Victor Désy,"tt0081455,tt0085033,tt0088927,tt0076222"
nm0299637,Tania Fédor,"tt0022263,tt0027607,tt0143946,tt0026546"
nm0378896,Johanne Harelle,"tt0057725,tt0095454,tt0170977,tt0106125"
nm0380966,Robert Bernard Hershorn,"tt0057725,tt0225677"
nm0388901,Guy Hoffmann,"tt0088683,tt0344753,tt0343233,tt0344691"
nm0388901,Guy Hoffmann,"tt0088683,tt0344753,tt0343233,tt0344691"
nm0427255,Monique Joly,"tt1255980,tt0057725,tt0226102,tt0059873"
nm0433267,Claude Jutra,"tt0067439,tt0057725,tt0070263,tt0088985"
nm0433267,Claude Jutra,"tt0067439,tt0057725,tt0070263,tt0088985"
nm0433267,Claude Jutra,"tt0067439,tt0057725,tt0070263,tt0088985"
nm0580494,Monique Mercure,"tt0102511,tt0120802,tt0074702,tt0177655"
nm0833444,Patrick Straram,"tt0058644,tt0057725,tt0225677,tt9480828"
nm0851026,François Tassé,"tt0101465,tt0168333,tt0264228,tt0057725"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0105475,Claude Brasseur,"tt0057869,tt0076852,tt0106910,tt0105448"
nm0173212,Louisa Colpeyn,"tt0057869,tt0275822,tt0174429,tt0139928"
nm0201195,Chantal Darget,"tt0057869,tt0194583,tt0245974,tt0059430"
nm0216155,Michel Delahaye,"tt0057869,tt3508394,tt0180901,tt2076220"
nm0293739,Sami Frey,"tt0057869,tt0106810,tt0090738,tt0055852"
nm0320647,Danièle Girard,"tt0057869,tt0065651,tt0277509,tt0472572"
nm0439344,Anna Karina,"tt0056663,tt0058898,tt0059592,tt0055572"
nm0579972,Ernest Menzer,"tt0057869,tt0235976,tt0065651,tt0327003"
nm0753711,Jean-Claude Rémoleux,"tt0057869,tt0057427,tt0058159,tt0163716"
nm0823003,Georges Staquet,"tt0057869,tt0079655,tt0104473,tt0173594"
nm0076874,Jean-Paul Bernier,"tt0058644,tt0155839,tt0077124,tt0057937"
nm0086127,Manon Blain,tt0057937
nm0090369,Jacques Bobet,"tt0093117,tt0079220,tt0233720,tt0226065"
nm0240746,Jean-V. Dufresne,"tt0235884,tt0237460,tt0235843,tt0236415"
nm0323739,Claude Godbout,"tt0078894,tt0127730,tt0184349,tt0181853"
nm0343918,Gilles Groulx,"tt0284376,tt0228265,tt0131317,tt0057937"
nm0487685,Paul-Marie Lapointe,"tt0950719,tt0057937,tt2205537"
nm0495663,André Leblanc,tt0057937
nm0536906,Pierre Maheu,"tt11986844,tt0276375,tt0211434,tt0289603"
nm0880654,Barbara Ulrich,"tt4171606,tt0297745,tt0057937,tt8531246"
nm0897431,Véronique Vilbert,"tt0080886,tt0252729,tt0057937,tt0070263"
nm0000086,Louis de Funès,"tt0069747,tt0074103,tt0079200,tt0064425"
nm0038160,Jack Ary,"tt0054834,tt0061676,tt0133572,tt0057967"
nm0093635,Jean-Marie Bon,"tt0272984,tt0066207,tt0057967,tt0159678"
nm0100186,Bourvil,"tt0056197,tt0065531,tt0049877,tt0060474"
nm0125627,Lando Buzzanca,"tt0122207,tt0058564,tt1233559,tt0196186"
nm0264256,Jacques Eyser,"tt0047401,tt0154249,tt3903048,tt0314597"
nm0350768,Henri Génès,"tt0060474,tt0159612,tt0044383,tt0157626"
nm0583183,Jean Meyer,"tt0154249,tt0275822,tt0158757,tt0045034"
nm0653620,Gérard Oury,"tt0057967,tt0069747,tt0060474,tt0083580"
nm0892891,Venantino Venantini,"tt1167638,tt0089457,tt0140603,tt0077288"
nm0899403,Henri Virlojeux,"tt0053198,tt0173594,tt0279575,tt0166933"
nm0000366,Catherine Deneuve,"tt0283832,tt0061395,tt0168629,tt0059646"
nm0128143,Pierre Caden,"tt0058450,tt0062873,tt0191866,tt0355408"
nm0144875,Nino Castelnuovo,"tt0058450,tt0116209,tt0054927,tt0064122"
nm0150709,Jean Champion,"tt0082206,tt0058450,tt0065531,tt0070460"
nm0218840,Jacques Demy,"tt0058450,tt0062873,tt0084843,tt0055093"
nm0233432,Jean-Pierre Dorat,"tt0103772,tt0058450,tt0167597,tt0137853"
nm0267833,Ellen Farner,"tt0058450,tt0439074,tt0166901,tt0059662"
nm0289514,Bernard Fradet,"tt0058450,tt0062873,tt0302905,tt0167609"
nm0584879,Marc Michel,"tt0058450,tt0055093,tt0228319,tt0054407"
nm0674629,Mireille Perrey,"tt0058450,tt0194222,tt0151132,tt0042649"
nm0894636,Anne Vernon,"tt0058450,tt0197217,tt0047868,tt0050263"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0000419,Jean-Luc Godard,"tt0057869,tt0056663,tt0058898,tt0059592"
nm0006573,Philippe Leroy,"tt0071910,tt0100263,tt0054407,tt0055432"
nm0100172,Christophe Bourseiller,"tt0076852,tt1194616,tt0076470,tt0921768"
nm0166182,Margareth Clémenti,"tt0058701,tt0071667,tt0081744,tt0072692"
nm0245097,Véronique Duval,"tt0062873,tt0058701,tt0806910,tt0188253"
nm0513928,Georges Liron,"tt0065234,tt0057869,tt0084621,tt0068763"
nm0537392,Rita Maiden,"tt0062136,tt0065179,tt0072353,tt0075683"
nm0617736,Macha Méril,"tt0073582,tt0061395,tt0089960,tt0058701"
nm0637627,Bernard Noël,"tt0057058,tt0058701,tt0314419,tt0168425"
