tconst,originalTitle,genres
tt0031885,La règle du jeu,"Comedy,Drama"
tt0035001,Lumière d'été,Drama
tt0038010,Le père Chopin,Drama
tt0038335,Le bataillon du ciel,"Drama,War"
tt0045027,La petite Aurore l'enfant martyre,"Biography,Drama"
tt0048021,Du rififi chez les hommes,"Crime,Drama,Thriller"
tt0049189,Et Dieu... créa la femme,"Drama,Romance"
tt0050781,Notre-Dame de Paris,"Drama,Fantasy"
tt0051133,Une parisienne,Comedy
tt0051579,En cas de malheur,"Crime,Drama,Romance"
tt0054177,Le petit soldat,"Drama,War"
tt0055572,Une femme est une femme,"Comedy,Drama,Romance"
tt0056663,Vivre sa vie: Film en douze tableaux,Drama
tt0057345,Le mépris,"Drama,Romance"
tt0057423,Pour la suite du monde,Documentary
tt0057725,À tout prendre,Drama
tt0057869,Bande à part,"Comedy,Crime,Drama"
tt0057937,Le chat dans le sac,Drama
tt0057967,Le corniaud,"Adventure,Comedy,Crime"
tt0058450,Les parapluies de Cherbourg,"Drama,Musical,Romance"
tt0058701,Une femme mariée: Suite de fragments d'un film tourné en 1964,"Drama,Romance"
tt0058863,La 317ème section,War
tt0058898,Alphaville: Une étrange aventure de Lemmy Caution,"Drama,Mystery,Sci-Fi"
tt0059592,Pierrot le fou,"Crime,Drama,Romance"
tt0059873,La vie heureuse de Léopold Z,Comedy
tt0060647,Made in USA,"Comedy,Crime,Mystery"
tt0061955,La mariée était en noir,"Crime,Drama,Mystery"
tt0062695,Baisers volés,"Comedy,Drama,Romance"
tt0064169,Le clan des Siciliens,"Crime,Drama"
tt0064990,La sirène du Mississipi,"Crime,Drama,Romance"
tt0065166,Valérie,Drama
tt0066118,Le mépris n'aura qu'un temps,Documentary
tt0067103,Fleur bleue,"Drama,Romance"
tt0068361,Le charme discret de la bourgeoisie,"Comedy,Drama,Fantasy"
tt0069350,Taureau,Drama
tt0069355,Le temps d'une chasse,Drama
tt0069963,Les dernières fiançailles,Drama
tt0070411,La mort d'un bûcheron,Drama
tt0070460,La nuit américaine,"Comedy,Drama,Romance"
tt0070465,O.K. ... Laliberté,Comedy
tt0070513,Par le sang des autres,Drama
tt0071262,C'est jeune et ça sait tout!,Comedy
tt0071464,Emmanuelle,"Drama,Romance"
tt0071552,Gina,"Crime,Drama"
tt0071949,Les ordres,"Drama,History"
tt0073198,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Drama
tt0073830,La tête de Normande St-Onge,"Drama,Fantasy"
tt0074348,Le corps de mon ennemi,"Crime,Drama,Mystery"
tt0074456,"L'eau chaude, l'eau frette",Drama
tt0075036,Parlez-nous d'amour,Drama
tt0075325,"Ti-mine, Bernie pis la gang...","Comedy,Drama"
tt0076426,The Music of the Spheres,Sci-Fi
tt0077288,La Cage aux folles,Comedy
tt0079232,Les grands enfants,"Comedy,Drama"
tt0080125,West Indies,"Drama,Musical"
tt0080184,À nous deux,Drama
tt0080718,Fantastica,"Drama,Musical"
tt0082484,La guerre du feu,"Adventure,Drama"
tt0084560,La quarantaine,"Comedy,Drama"
tt0086079,Papy fait de la résistance,"Comedy,Music,War"
tt0087284,Fort Saganne,"Drama,History,War"
tt0087373,La guerre des tuques,"Comedy,Drama,Family"
tt0088674,Adramélech,Divers
tt0088985,La dame en couleurs,Drama
tt0089284,Hold-Up,"Comedy,Crime"
tt0090095,Subway,Thriller
tt0091288,Jean de Florette,"Comedy,Drama"
tt0095201,Gaspard et fil$,Comedy
tt0095250,Le grand bleu,"Adventure,Drama,Sport"
tt0095891,Les portes tournantes,"Drama,Music"
tt0098684,Yaaba,"Drama,Romance"
tt0100263,Nikita,"Action,Crime,Drama"
tt0101318,Les amants du Pont-Neuf,"Drama,Romance"
tt0101339,Amoureux fou,"Comedy,Drama"
tt0101700,Delicatessen,"Comedy,Crime"
tt0103905,C'est arrivé près de chez vous,"Comedy,Crime,Drama"
tt0104019,Coyote,"Drama,Romance"
tt0104105,Diên Biên Phú,"Drama,War"
tt0105235,Requiem pour un beau sans-coeur,"Crime,Drama"
tt0106931,La Florida,Comedy
tt0109731,L'enfer,"Crime,Drama,Thriller"
tt0109900,Giorgino,"Adventure,Drama,Horror"
tt0110330,Les Milles,"Comedy,Drama,War"
tt0112387,L'appât,"Crime,Drama"
tt0112556,Le bonheur est dans le pré,Comedy
tt0112682,La cité des enfants perdus,"Adventure,Drama,Fantasy"
tt0112874,Dis-moi oui...,"Comedy,Drama,Romance"
tt0113247,La haine,"Crime,Drama"
tt0113362,Le hussard sur le toit,"Adventure,Drama,Romance"
tt0114732,Les trois frères,Comedy
tt0115897,La cible,"Comedy,Crime"
tt0116091,Les 2 papas et la maman,Comedy
tt0117477,Ridicule,"Comedy,Drama,History"
tt0117968,Trois vies et une seule mort,"Comedy,Crime,Fantasy"
tt0118664,Babel,"Adventure,Family,Fantasy"
tt0118976,Didier,"Comedy,Fantasy,Sport"
tt0119038,Le dîner de cons,Comedy
tt0119247,1 chance sur 2,"Action,Adventure,Comedy"
tt0119391,J'ai horreur de l'amour,"Comedy,Drama"
tt0119392,J'en suis!,Comedy
tt0119590,Ma vie en rose,Drama
tt0119981,Les randonneurs,"Comedy,Romance"
tt0120449,La vie rêvée des anges,Drama
tt0120471,La vérité si je mens!,"Comedy,Romance"
tt0120802,Le violon rouge,"Drama,Music,Mystery"
tt0120882,Les couloirs du temps: Les visiteurs II,"Comedy,Fantasy"
tt0128370,Nô,"Comedy,Drama"
tt0135741,7 fois... par jour,"Adventure,Comedy,Fantasy"
tt0144152,La cuisine rouge,Drama
tt0146282,Le soleil se lève en retard,Drama
tt0150192,Contrecoeur,Drama
tt0152930,Taxi,"Action,Comedy,Crime"
tt0159603,The Delivery,"Action,Adventure,Comedy"
tt0170705,Train de vie,"Comedy,Drama,War"
tt0178655,Exit,"Crime,Sci-Fi,Thriller"
tt0181530,Est - Ouest,"Adventure,Drama,History"
tt0181627,Kirikou et la sorcière,"Adventure,Animation,Family"
tt0183869,Taxi 2,"Action,Comedy,Crime"
tt0191049,Les corps célestes,Comedy
tt0191076,Le dernier souffle,Crime
tt0199481,Vercingétorix,"Adventure,Biography,Drama"
tt0203427,Le créateur,Comedy
tt0211444,Je suis loin de toi mignonne,Comedy
tt0211915,Le fabuleux destin d'Amélie Poulain,"Comedy,Romance"
tt0214289,La vérité si je mens! 2,Comedy
tt0216841,Jet Set,Comedy
tt0225131,Les aventures d'une jeune veuve,Comedy
tt0228786,Les rivières pourpres,"Crime,Mystery,Thriller"
tt0230492,La maison qui empêche de voir la ville,Divers
tt0237534,Le pacte des loups,"Action,Adventure,Drama"
tt0244173,Le roi danse,"Drama,History,Music"
tt0250223,Astérix & Obélix : Mission Cléopâtre,"Adventure,Comedy,Family"
